RSI,EMA20,EMA50,MACD,Signal,volume,Target
55.992004674957485,66227.00332994892,65482.10829938387,364.3968738995318,463.8658638209864,448.51217,0
54.27445669782886,66229.1934890014,65512.22169940804,323.63688220534823,435.8200674978588,457.62239,1
56.054000936254894,66240.36744242984,65544.9392798234,295.71384732010483,407.79882346230806,456.63949,0
44.3990846410897,66192.90292410318,65552.66675904601,222.24225192773156,370.6875091553928,964.73227,1
51.9339273290943,66190.26550276003,65576.68806261284,195.90750052998192,335.7315074303106,802.10485,0
46.69844330717233,66156.91545487812,65587.01755035351,147.1067978618812,298.00656551662473,694.50218,1
50.11199114611555,66146.25684012783,65604.97764641809,123.542295226056,263.113711458511,739.41945,1
56.044582238882526,66174.8038077347,65637.95891518601,135.6607926455472,237.62312769591824,556.56171,0
54.75065575970872,66193.58439747426,65666.74484008068,137.70621606371424,217.63974536947745,385.79165,1
61.56426384547413,66260.82493104813,65715.09249341085,179.8280011797906,210.0773965315401,688.96018,0
54.9804856412649,66284.55588999593,65746.26533680651,179.7000778242509,204.00193279008224,600.75927,1
55.033653440476776,66306.40770999632,65776.37257850038,177.8710771573824,198.7757616635423,387.22813,0
54.474711785335245,66323.10507094905,65804.0336538533,171.83683359036513,193.3879760489069,467.239,0
53.53301111412288,66333.26934990629,65828.57468703552,161.01072443000157,186.91252572512585,562.31913,0
47.14368275087245,66306.48179277235,65837.33646401452,120.55356512281288,173.64073360466327,1347.85119,0
41.53300845115947,66244.4263839369,65830.1820928767,55.80503785795008,150.07359445532063,1491.76291,1
45.15909472559128,66207.79149022861,65831.3420108031,20.78228814493923,124.21533319324436,788.81576,0
43.709944519445685,66164.96087211161,65828.46859861474,-15.00604611048766,96.37105733249795,338.72091,1
